Taxon	BCD1	BCD2	BCP1	BCP2	BD1	BD4	BP1	BP4	CD1	CD2	CD3	CD4	CD5	CD8	CP1	CP2	CP3	CP4	CP5	CP8
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ethanoligenens	0.0	0.0	0.0	0.0	0.0	0.0	0.00617283950617	0.0	0.000141562853907	8.81329044199e-05	0.00016029922522	0.0	0.0	4.37349661054e-05	0.000326124270512	0.000124864729876	0.000273940437522	0.0	0.000243526260248	0.00022260146917
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Lactonifactor	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.48896434635e-05	0.0	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter	0.00175570604465	0.00600600600601	0.00591657137175	0.0382775119617	0.0134529147982	0.00492610837438	0.0	0.0	0.00353907134768	0.00110166130525	0.00229762222816	0.0113652308124	0.0109827414064	0.000743494423792	0.0183831101957	0.00507783234829	0.0164755605995	0.00666383701188	0.0145304001948	0.00359872375158
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Other	0.00476548783547	0.024024024024	0.0231690946154	0.0215311004785	0.00896860986547	0.0197044334975	0.0123456790123	0.0403225806452	0.0180138731597	0.00868109108536	0.0115415442159	0.0415555867359	0.0539152759949	0.00393614694949	0.0627360109852	0.0378340131524	0.0689547215591	0.0423599320883	0.0512216900722	0.0188840246346
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Papillibacter	0.0	0.0	0.000298314522945	0.0	0.0	0.0	0.0	0.0	0.00010617214043	4.40664522099e-05	0.0	0.00208128712408	0.000998431036942	4.37349661054e-05	0.000703741846893	0.000166486306501	0.000665283919696	0.000891341256367	0.000405877100414	0.000259701714031
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus	0.0	0.0	0.000149157261473	0.0	0.0	0.0197044334975	0.0	0.0	0.00010617214043	0.000440664522099	0.000320598450441	7.01557457556e-05	0.000285266010555	0.0	8.58221764504e-05	8.32431532506e-05	0.00015653739287	0.000424448217317	0.000405877100414	0.0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Sporobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000141562853907	0.0	0.0	0.0	0.00057053202111	0.0	0.000411946446962	0.000166486306501	0.000626149571479	0.0	0.000892929620911	0.0
Bacteria;Firmicutes;Clostridia;Other;Other;Other	0.0	0.0	9.94381743151e-05	0.0	0.0	0.0	0.0	0.00806451612903	0.0	0.00026439871326	0.00016029922522	0.000163696740096	0.0	0.0	1.71644352901e-05	4.16215766253e-05	7.82686964349e-05	0.000127334465195	0.0	0.000148400979446
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Allobaculum	0.101329320291	0.012012012012	0.0638393079103	0.0693779904306	0.0	0.0	0.00617283950617	0.0	7.07814269536e-05	0.00017626580884	0.0	0.0	0.0	0.0	3.43288705802e-05	0.0	0.0	0.0	0.0	3.71002448616e-05
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales;Erysipelotrichaceae;Coprobacillus	0.0	0.0	0.0	0.00239234449761	0.0	0.0	0.0	0.0	0.00332672706682	0.0	0.0062516697836	0.000771713203311	0.00142633005277	0.000131204898316	0.00247167868177	0.0	0.000665283919696	0.00110356536503	0.000487052520497	0.0
